,Actor ID/SRN,Actor/Organisation name,UDI-DI code,Status,Nomenclature code(s),Name/Trade name(s),Reference-catalogue number,Additional Product description,Additional information url,Clinical sizes,Labelled as single use,Maximum number of reuses,Need for sterilisation before use,Device labelled as sterile,Containing Latex,Storage and handling conditions,Critical warnings or contra-indications,Reprocessesed single use device,Member state of the placing on the EU market of the device,link
0,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903960 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,VENUS 60C BTE Battery Extension Wire (40cm)[EN],CP02.1036,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ba44c6d3-aae5-4d6a-ba82-84fc5a63361d
1,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903212 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,VENUS 60C BTE Battery Extension Wire (30cm)[EN],CP02.1035,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/c358b97e-8570-4367-83bc-deb5e0aa9301
2,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903953 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,VENUS 60C BTE Battery Extension Wire (20cm)[EN],CP02.1034,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d16c7ee6-b0e1-4b46-8972-67a807298fb7
3,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903298 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,Drying Case[EN],CP02.1022,"Sobre la base del producto común, se añade la función de temporización, que incluye dos engranajes de tiempo de secado debido a la situación real, por lo que es más ahorro de energía, seguro y conveniente.[EN]",http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy. | WARNING: Do not put the battery into the drying box to avoid box damage or explosion; Do not cover the dryer with cloth or other things when it is working. Please clean the surface stains. including water stains. and remove the battery before drying. After drying. please remove the power plug. Do not disassemble or refit by yourself.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/011f6f6e-904b-4cbf-8f1e-346404edf8d9
4,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903144 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,RF Signal Tester[EN],CP00.0001,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,,,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/1fa4f516-0ab7-4183-8217-806964026dff
5,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903120 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,VENUS 60C Battery Storage Body-worn Bag[EN],CP00.0082,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/a90ca619-b5ce-4e3f-a813-367482da5bfb
6,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903113 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,VENUS 60C BTE Microphone cover & filter[EN],CP02.1023,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/cf847155-46b0-4121-9ade-5d1be71d3ce0
7,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903106 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,VENUS 60C Earhook for BTE[EN],CP02.1025,"Diseñado para llevarlo cómodamente, es adecuado para todos los pabellones auriculares comunes (tanto para niños como para adultos). [EN]",http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0360725e-a504-4eec-adfa-eac5cb3eb65f
8,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903083 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,BTE Charger Power Cable[EN],CP00.0026,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy. | CHARGING WARNING: -Please charge the batteries with the charging device designated by Nurotron. -The batteries should be placed out of children’s reach to prevent accidental swallow. -Do not charge over 12 hours to prevent over-charge. -Do not cast batteries into fire. lest there should be explosions. -Do not litter the batteries with household waste. deliver them to recycle bin for recycling. -Please charge under 10-45℃. 0%-85% humidity. altitude ≤2000 m. -In case of electrolyte leakage or mechanical damage. do not disassemble by yourself.-Do not position the adapter so that it is difficult to operate the adapter when charging. -Please charge the battery daily and carry around a standby battery. -If the device is left unused for a long period of time please charge it once every 2 months. -The using time of the battery significantly shorten. please replace a new battery.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/591dbba5-990c-4d36-a75b-d076b6ca0a51
9,CN-MF-000013332,"Zhejiang Nurotron Biotechnology Co., Ltd.",06956131903076 / GS1,On the EU Market,J0301: COCHLEAR IMPLANTABLE DEVICES,UE Plug Adaptor for BTE Batteries Charger[EN],CP02.1045,,http://www.nurotron.com/index_en.aspx,,No,,No,No,No,Range of temperatures: between -20℃ and 50℃. | Range of humidity: between 0% and 85%.,)CONTRAINDICATIONS: Absolute contraindications: 1) Serious malformation of inner ear. such as Michel deformation or cochlea absence; 2) Auditory nerve absence; 3) Deafness caused by non-cochlea illness; 4) Serious mental disease; 5) Uncured purulent mastoiditis of middle ear. Relative contraindications: 1) Bad physical condition; 2) Uncontrollable epilepsy. | CHARGING WARNING: -Please charge the batteries with the charging device designated by Nurotron. -The batteries should be placed out of children’s reach to prevent accidental swallow. -Do not charge over 12 hours to prevent over-charge. -Do not cast batteries into fire. lest there should be explosions. -Do not litter the batteries with household waste. deliver them to recycle bin for recycling. -Please charge under 10-45℃. 0%-85% humidity. altitude ≤2000 m. -In case of electrolyte leakage or mechanical damage. do not disassemble by yourself.-Do not position the adapter so that it is difficult to operate the adapter when charging. -Please charge the battery daily and carry around a standby battery. -If the device is left unused for a long period of time please charge it once every 2 months. -The using time of the battery significantly shorten. please replace a new battery.,No,Spain,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d71beb7e-dac6-4a20-b918-83fcb551e4f3
