,Actor ID/SRN,Actor/Organisation name,Device Name,"NB ID, name",Certificate number,Certificate revision,Certificate issue date,Certificate expiry date,Certificate status,link
0,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV-1/HIV-2 Control Test,"0543, Presafe Denmark A/S",DGM-548,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/667da18f-a917-4de8-835a-6b68b4213ec3
1,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV-1/HIV-2 Control Test,"0543, Presafe Denmark A/S",DGM-549,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/667da18f-a917-4de8-835a-6b68b4213ec3
2,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-548,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/aadf7d28-3a5d-47cf-83b2-e889c518c086
3,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-459,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/aadf7d28-3a5d-47cf-83b2-e889c518c086
4,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-548,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0f618d6f-ff80-41bf-9d32-a0f10b733399
5,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-549,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0f618d6f-ff80-41bf-9d32-a0f10b733399
6,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-548,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ea77562e-03ea-46c6-b560-55cfbd42fb19
7,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-549,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ea77562e-03ea-46c6-b560-55cfbd42fb19
8,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-548,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/43839716-2b55-45db-b5db-581809458269
9,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-549,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/43839716-2b55-45db-b5db-581809458269
10,CA-MF-000023304,bioLytical Laboratories Inc.,INSTI HIV ANTIBODY SELF-TEST,"0543, Presafe Denmark A/S",DGM-548,,,2024-05-26,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/44e8a5e0-ceaa-4725-bb4f-fc168e863b14
