,Actor ID/SRN,Actor/Organisation name,Applicable legislation,EUDAMED DI code,Kit,Risk class,Companion diagnostic,Near patient testing,Patient self testing,Professional testing,Reagent,Instrument,Device name,Presence of human tissues and cells or their derivatives,Presence of animal tissues and cells or their derivatives,Presence of cells or substances of microbial origin,link
0,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M71243460116 / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 1 ml K2E/K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4249aa6b-b1e5-4687-a2bc-3aad9113beba
1,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M71243460217 / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 2 ml K2E /K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/926131b0-1a64-4aeb-b823-cddc67221ba6
2,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M71243460318 / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 3 ml K2E/K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4cc8fbda-3ac1-4af4-b81e-4fa1735f961d
3,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M71243460419 / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 4 ml K2E/K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/720e0017-1e2b-4ca6-b2d4-b6e9f922100d
4,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124346051A / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 4.5 ml K2E/K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/07219725-c28a-4114-bea4-8ae95d4147ed
5,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124356061C / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 6 ml K2E/K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d47cfbc5-f5f2-46ec-bb7a-b172b4b76871
6,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124356161D / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 6 ml K3E/K3EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/027af2bc-1daf-4731-b772-d74e2c32ef17
7,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124356251D / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,VACUSERA® 5 ml K2E/K2EDTA&Gel Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/115fcae3-1934-4ab7-bb21-2cde828c2a24
8,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124356361F / EUDAMED,No,IVD-GENERAL,Yes,No,No,No,No,No,VACUSERA® 6 ml Crossmatch K2E / K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/de6d9167-785f-4f75-9957-41fcfa882476
9,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124356461G / EUDAMED,No,IVD-GENERAL,Yes,No,No,No,No,No,VACUSERA® 6 ml Crossmatch K3E / K3EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/781ae4aa-91fe-4e1e-a8ad-db45b8cf75e8
10,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124366091G / EUDAMED,No,IVD-GENERAL,Yes,No,No,No,No,No,VACUSERA® 9 ml K2E/K2EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/cd7da217-012e-4cc5-8484-56704eed2f41
11,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124366191H / EUDAMED,No,IVD-GENERAL,Yes,No,No,No,No,No,VACUSERA® 9 ml K3E/K3EDTA Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/69ae4e35-5d34-45fd-b3ea-2ac977be7cea
12,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-+M7124366281H / EUDAMED,No,IVD-GENERAL,Yes,No,No,No,No,No,VACUSERA® 8 ml K2E/K2EDTA&Gel Blood Collection Tube,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/b4ae787c-5df2-40c9-94a8-4fc610772966
13,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010365 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HIV-1/HIV-2 Control Test,Yes,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/667da18f-a917-4de8-835a-6b68b4213ec3
14,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010501 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/aadf7d28-3a5d-47cf-83b2-e889c518c086
15,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010563 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0f618d6f-ff80-41bf-9d32-a0f10b733399
16,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010570 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ea77562e-03ea-46c6-b560-55cfbd42fb19
17,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010587 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/43839716-2b55-45db-b5db-581809458269
18,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010594 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/44e8a5e0-ceaa-4725-bb4f-fc168e863b14
19,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010600 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f8f88807-681c-4c33-9108-4b91542b879a
20,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010631 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/fc202fa9-860d-427e-8c10-17f668f78c5a
21,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597010761 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ec6578b2-bc06-42be-a651-3ae23d3419fe
22,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200018 / EUDAMED,Yes,IVD-GENERAL,No,No,No,Yes,No,No,iSTATIS COVID-19 Ag TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/bfcc1c1a-6bc1-44c7-85ea-75dc4f37b985
23,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200094 / EUDAMED,Yes,IVD-GENERAL,No,No,Yes,No,No,No,iSTATIS COVID-19 Ag HOME  TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/af6692b3-7181-4d82-9f99-f093eec909bd
24,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200100 / EUDAMED,Yes,IVD-GENERAL,No,No,Yes,No,No,No,iSTATIS COVID-19 Ag HOME  TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/bcf60fad-22cf-4e6a-ace6-cb34b3a92efa
25,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200193 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HIV-1/HIV-2 ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/daf5a4d7-1903-4581-8e53-14deac306756
26,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200278 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI Multiplex Test Kit,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/556ee097-b129-4c6d-b7dc-33c6ef2c1166
27,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200339 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,"INSTI HIV-1/HIV-2 ANTIBODY TEST KIT, EN",No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4858bd71-c3a1-4d7f-9327-fa9f64727b0e
28,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200353 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,"INSTI HIV-1/HIV-2 ANTIBODY TEST KIT, FR",No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/6b338074-a3a4-4a44-9d6e-980beec2609c
29,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200377 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HIV-1/HIV-2 ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/db8670d3-d108-40e3-946e-3306d4d280fb
30,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200391 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,"INSTI HIV-1/HIV-2 ANTIBODY TEST KIT, CZ",No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/07575b86-82b4-4c4c-9800-9dcac3a6b39f
31,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200407 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,"INSTI HIV-1/HIV-2 ANTIBODY TEST KIT, BE",No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/c6c1f599-d069-41d9-a9ec-ee506143711e
32,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200414 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HIV-1/HIV-2 ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f1ee6c4f-c706-440d-b188-f557edd20770
33,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200421 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI Multiplex Test Kit,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4b4cfdef-8e56-46dc-84ca-e0b4d855ddb9
34,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200445 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI Multiplex Test Kit,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/6bd22cd1-55ca-4d36-af79-d3f7179b3829
35,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200469 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI Multiplex Test Kit,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/20e245f0-a9bc-4ec7-872c-7ef1a3c1c58b
36,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200483 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI Multiplex Test Kit,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ce507e6a-6d6a-45e8-850c-57996e77b1f2
37,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200490 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI Multiplex Test Kit,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/5895e739-6057-4a8c-9668-daedfe0722bd
38,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200506 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI Multiplex Test Kit,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/c6e95111-cfea-41f6-8050-004cfd9c4902
39,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200520 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/8eb4e052-c7f6-4546-a891-703cf38c9be8
40,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200544 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/8e9ec27c-6120-4a73-b240-4202e4f8f7e0
41,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200568 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,INSTI HIV ANTIBODY SELF-TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ba62eac5-7e0a-48b5-9be8-119f9c64676d
42,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200674 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HCV ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/6ad0362e-dc1c-4fa1-bf76-92a9a199c30d
43,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200704 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HCV ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/2a2dd79c-e093-4a5d-ac2b-1de6ff482428
44,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200711 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HCV ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/62e722a3-08e4-4376-be28-d7115c40883e
45,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200728 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HCV ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/071a34bb-18f3-42b3-a733-0d68dc007626
46,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200735 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HCV ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f433a009-a441-42b4-b937-e83685d4c330
47,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200766 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HCV  CONTROL TEST KIT,Yes,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0946d211-ef97-48f8-812f-5b18752fde60
48,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200797 / EUDAMED,Yes,IVD-GENERAL,No,No,No,Yes,No,No,INSTI COVID ANTIBODY TEST,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f761734f-3a2c-4806-b537-8811461e0baf
49,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200858 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,No,Yes,No,No,INSTI HIV-1/HIV-2 ANTIBODY TEST KIT,No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/cc447a9b-f093-4f19-9d3d-acacb8b22b23
50,CA-MF-000023304,bioLytical Laboratories Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00686597200889 / EUDAMED,Yes,IVD-ANNEX-II-LIST-A,No,No,Yes,No,No,No,"INSTI HIV ANTIBODY SELF-TEST, CE, ETLVLT",No,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/38ecb461-1ac9-470e-aed9-7572d1a0e36d
51,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700049 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,"Keratin 14 Polyclonal Antibody, Purified",No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d9385586-9921-49de-9f12-d912d50887a0
52,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700063 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,"Keratin 5 Polyclonal Antibody, Purified",No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/aa3379ef-2a23-4455-8a8a-2fad0e1f0396
53,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700087 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,"Keratin 5 Polyclonal Chicken Antibody, Purified",No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/fe032dad-af2b-4123-a03e-32d53fefc2e7
54,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700223 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,"BRST-2 (GCDFP-15) Monoclonal Antibody, Purified",No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/fa047ba4-6a1b-4893-9093-126a3e3cdb93
55,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700230 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,"BRST-2 (GCDFP-15) Monoclonal Antibody, Purified",No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/86f4d6d9-99a8-47fb-a2e0-0be6beccb19a
56,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700247 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,"BRST-2 (GCDFP-15) Monoclonal Antibody, Purified",No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/b5103322-e75e-470d-824c-42fa35f27ad7
57,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700322 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,D2-40 Lymphatic Endothelial Marker Monoclonal Antibody,No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/ba8bd921-ab5c-4ae8-a34a-e6530482c331
58,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700339 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,D2-40 Lymphatic Endothelial Marker Monoclonal Antibody,No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/972e638f-e5b9-4e9e-be05-f13774840daf
59,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700346 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,D2-40 Lymphatic Endothelial Marker Monoclonal Antibody,No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/449fd9bd-5645-45ed-9588-c531ba0a0fa9
60,US-MF-000013824,BioLegend Inc,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00810034700353 / EUDAMED,No,IVD-GENERAL,No,No,No,Yes,Yes,No,D2-40 Lymphatic Endothelial Marker Monoclonal Antibody,No,Yes,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/584f9965-f745-4c9f-b599-15ce368db5ec
61,CA-MF-000011667,Precision BioLogic Inc.,IVDD (Directive 98/79/EC on in vitro Diagnostic Medical Devices),B-00843876000077 / EUDAMED,No,IVD-GENERAL,No,No,No,No,No,No,CRYOcheck Abnormal 1 Reference Control,Yes,No,No,https://ec.europa.eu/tools/eudamed/#/screen/search-device/52ab1461-cfc2-4af5-8433-9d744c0dbb0b
