,Actor ID/SRN,Actor/Organisation name,UDI-DI code,Status,Nomenclature code(s),Name/Trade name(s),Reference-catalogue number,Additional Product description,Additional information url,Clinical sizes,Labelled as single use,Maximum number of reuses,Need for sterilisation before use,Device labelled as sterile,Containing Latex,Storage and handling conditions,Critical warnings or contra-indications,Reprocessesed single use device,Member state of the placing on the EU market of the device,link
0,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M71243460116 / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],434601,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4249aa6b-b1e5-4687-a2bc-3aad9113beba
1,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M71243460217 / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],434602,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory
[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/926131b0-1a64-4aeb-b823-cddc67221ba6
2,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M71243460318 / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],434603,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory
[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/4cc8fbda-3ac1-4af4-b81e-4fa1735f961d
3,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M71243460419 / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],434604,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory
[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/720e0017-1e2b-4ca6-b2d4-b6e9f922100d
4,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M7124346051A / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],434605,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory
[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/07219725-c28a-4114-bea4-8ae95d4147ed
5,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M7124356061C / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],435606,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory
[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/d47cfbc5-f5f2-46ec-bb7a-b172b4b76871
6,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M7124356161D / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],435616,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/027af2bc-1daf-4731-b772-d74e2c32ef17
7,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M7124356251D / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],435625,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/115fcae3-1934-4ab7-bb21-2cde828c2a24
8,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M7124356361F / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],435636,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/de6d9167-785f-4f75-9957-41fcfa882476
9,TR-MF-000025066,DİSERA TIBBİ MALZEME LOJİSTİK SAN. VE TİC. A.Ş.,+M7124356461G / HIBCC,On the EU Market,"W050101010201: BLOOD COLLECTION, TUBES WITH ADDITIVES OR SERUM SEPARATOR",VACUSERA[EN],435646,"VACUSERA tubes are used to collect, transport and process blood for testing serum, plasma or whole blood in the clinical laboratory[EN]",,,Yes,1,No,Yes,No,,,No,Turkey,https://ec.europa.eu/tools/eudamed/#/screen/search-device/781ae4aa-91fe-4e1e-a8ad-db45b8cf75e8
