,Actor ID/SRN,Actor/Organisation name,Device Name,Markets,link
0,US-MF-000021651,"Abaxis, Inc.",Piccolo Xpress,,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0787750a-4236-487d-8453-4179b2dc8549
1,DE-MF-000025020,NovaTec Immundiagnostica GmbH,Washing Buffer (20x concentrated),Germany. (From 2022-07-11 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/46b83709-6bd7-4015-9ddc-92ad5d825af9
2,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Thrombotimer,Austria. (From 1995-01-01 to None) | Belgium. (From 1995-01-01 to None) | Bulgaria. (From 1995-01-01 to None) | Croatia. (From 1995-01-01 to None) | Cyprus. (From 1995-01-01 to None) | Czech Republic. (From 1995-01-01 to None) | Denmark. (From 1995-01-01 to None) | Estonia. (From 1995-01-01 to None) | Finland. (From 1995-01-01 to None) | France. (From 1995-01-01 to None) | Germany. (From 1995-01-01 to None) | Greece. (From 1995-01-01 to None) | Hungary. (From 1995-01-01 to None) | Iceland. (From 1995-01-01 to None) | Ireland. (From 1995-01-01 to None) | Italy. (From 1995-01-01 to None) | Latvia. (From 1995-01-01 to None) | Liechtenstein. (From 1995-01-01 to None) | Lithuania. (From 1995-01-01 to None) | Luxembourg. (From 1995-01-01 to None) | Malta. (From 1995-01-01 to None) | Netherlands. (From 1995-01-01 to None) | Norway. (From 1995-01-01 to None) | Poland. (From 1995-01-01 to None) | Portugal. (From 1995-01-01 to None) | Romania. (From 1995-01-01 to None) | Slovakia. (From 1995-01-01 to None) | Slovenia. (From 1995-01-01 to None) | Spain. (From 1995-01-01 to None) | Sweden. (From 1995-01-01 to None) | Turkey. (From 1995-01-01 to None) | United Kingdom (Northern Ireland only). (From 1995-01-01 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/c8a8a043-8d62-4d0a-88d3-7c985b3a924b
3,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Thrombostat,Austria. (From 2003-04-22 to None) | Belgium. (From 2003-04-22 to None) | Bulgaria. (From 2003-04-22 to None) | Croatia. (From 2003-04-22 to None) | Cyprus. (From 2003-04-22 to None) | Czech Republic. (From 2003-04-22 to None) | Denmark. (From 2003-04-22 to None) | Estonia. (From 2003-04-22 to None) | Finland. (From 2003-04-22 to None) | France. (From 2003-04-22 to None) | Germany. (From 2003-04-22 to None) | Greece. (From 2003-04-22 to None) | Hungary. (From 2003-04-22 to None) | Iceland. (From 2003-04-22 to None) | Ireland. (From 2003-04-22 to None) | Italy. (From 2003-04-22 to None) | Latvia. (From 2003-04-22 to None) | Liechtenstein. (From 2003-04-22 to None) | Lithuania. (From 2003-04-22 to None) | Luxembourg. (From 2003-04-22 to None) | Malta. (From 2003-04-22 to None) | Netherlands. (From 2003-04-22 to None) | Norway. (From 2003-04-22 to None) | Poland. (From 2003-04-22 to None) | Portugal. (From 2003-04-22 to None) | Romania. (From 2003-04-22 to None) | Slovakia. (From 2003-04-22 to None) | Slovenia. (From 2003-04-22 to None) | Spain. (From 2003-04-22 to None) | Sweden. (From 2003-04-22 to None) | Turkey. (From 2003-04-22 to None) | United Kingdom (Northern Ireland only). (From 2003-04-22 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/a2146537-029b-44b2-92b9-0bdabe3c6fe4
4,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Thrombostat +,Austria. (From 2003-04-22 to None) | Belgium. (From 2003-04-22 to None) | Bulgaria. (From 2003-04-22 to None) | Croatia. (From 2003-04-22 to None) | Cyprus. (From 2003-04-22 to None) | Czech Republic. (From 2003-04-22 to None) | Denmark. (From 2003-04-22 to None) | Estonia. (From 2003-04-22 to None) | Finland. (From 2003-04-22 to None) | France. (From 2003-04-22 to None) | Germany. (From 2003-04-22 to None) | Greece. (From 2003-04-22 to None) | Hungary. (From 2003-04-22 to None) | Iceland. (From 2003-04-22 to None) | Ireland. (From 2003-04-22 to None) | Italy. (From 2003-04-22 to None) | Latvia. (From 2003-04-22 to None) | Liechtenstein. (From 2003-04-22 to None) | Lithuania. (From 2003-04-22 to None) | Luxembourg. (From 2003-04-22 to None) | Malta. (From 2003-04-22 to None) | Netherlands. (From 2003-04-22 to None) | Norway. (From 2003-04-22 to None) | Poland. (From 2003-04-22 to None) | Portugal. (From 2003-04-22 to None) | Romania. (From 2003-04-22 to None) | Slovakia. (From 2003-04-22 to None) | Slovenia. (From 2003-04-22 to None) | Spain. (From 2003-04-22 to None) | Sweden. (From 2003-04-22 to None) | Turkey. (From 2003-04-22 to None) | United Kingdom (Northern Ireland only). (From 2003-04-22 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/30266a2e-7b63-45b9-87e0-5969d3dad2b4
5,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Thrombostat 2,Austria. (From 2003-04-22 to None) | Belgium. (From 2003-04-22 to None) | Bulgaria. (From 2003-04-22 to None) | Croatia. (From 2003-04-22 to None) | Cyprus. (From 2003-04-22 to None) | Czech Republic. (From 2003-04-22 to None) | Denmark. (From 2003-04-22 to None) | Estonia. (From 2003-04-22 to None) | Finland. (From 2003-04-22 to None) | France. (From 2003-04-22 to None) | Germany. (From 2003-04-22 to None) | Greece. (From 2003-04-22 to None) | Hungary. (From 2003-04-22 to None) | Iceland. (From 2003-04-22 to None) | Ireland. (From 2003-04-22 to None) | Italy. (From 2003-04-22 to None) | Latvia. (From 2003-04-22 to None) | Liechtenstein. (From 2003-04-22 to None) | Lithuania. (From 2003-04-22 to None) | Luxembourg. (From 2003-04-22 to None) | Malta. (From 2003-04-22 to None) | Netherlands. (From 2003-04-22 to None) | Norway. (From 2003-04-22 to None) | Poland. (From 2003-04-22 to None) | Portugal. (From 2003-04-22 to None) | Romania. (From 2003-04-22 to None) | Slovakia. (From 2003-04-22 to None) | Slovenia. (From 2003-04-22 to None) | Spain. (From 2003-04-22 to None) | Sweden. (From 2003-04-22 to None) | Turkey. (From 2003-04-22 to None) | United Kingdom (Northern Ireland only). (From 2003-04-22 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/6524c3e5-64ff-4af6-b634-de7ea0d62189
6,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Thrombolyzer,Austria. (From 2020-05-15 to None) | Belgium. (From 2020-05-15 to None) | Bulgaria. (From 2020-05-15 to None) | Croatia. (From 2020-05-15 to None) | Cyprus. (From 2020-05-15 to None) | Czech Republic. (From 2020-05-15 to None) | Denmark. (From 2020-05-15 to None) | Estonia. (From 2020-05-15 to None) | Finland. (From 2020-05-15 to None) | France. (From 2020-05-15 to None) | Greece. (From 2020-05-15 to None) | Hungary. (From 2020-05-15 to None) | Iceland. (From 2020-05-15 to None) | Ireland. (From 2020-05-15 to None) | Italy. (From 2020-05-15 to None) | Latvia. (From 2020-05-15 to None) | Liechtenstein. (From 2020-05-15 to None) | Lithuania. (From 2020-05-15 to None) | Luxembourg. (From 2020-05-15 to None) | Malta. (From 2020-05-15 to None) | Netherlands. (From 2020-05-15 to None) | Norway. (From 2020-05-15 to None) | Poland. (From 2020-05-15 to None) | Portugal. (From 2020-05-15 to None) | Romania. (From 2020-05-15 to None) | Slovakia. (From 2020-05-15 to None) | Slovenia. (From 2020-05-15 to None) | Spain. (From 2020-05-15 to None) | Sweden. (From 2020-05-15 to None) | Turkey. (From 2020-05-15 to None) | United Kingdom (Northern Ireland only). (From 2020-05-15 to None) | Germany. (From 2020-05-15 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/48cb7a32-dab1-4139-8ecc-3b6f07d9c2ed
7,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Behnk,Austria. (From 2003-11-25 to None) | Belgium. (From 2003-11-25 to None) | Bulgaria. (From 2003-11-25 to None) | Croatia. (From 2003-11-25 to None) | Cyprus. (From 2003-11-25 to None) | Czech Republic. (From 2003-11-25 to None) | Denmark. (From 2003-11-25 to None) | Estonia. (From 2003-11-25 to None) | Finland. (From 2003-11-25 to None) | France. (From 2003-11-25 to None) | Germany. (From 2003-11-25 to None) | Greece. (From 2003-11-25 to None) | Hungary. (From 2003-11-25 to None) | Iceland. (From 2003-11-25 to None) | Ireland. (From 2003-11-25 to None) | Italy. (From 2003-11-25 to None) | Latvia. (From 2003-11-25 to None) | Liechtenstein. (From 2003-11-25 to None) | Lithuania. (From 2003-11-25 to None) | Luxembourg. (From 2003-11-25 to None) | Malta. (From 2003-11-25 to None) | Netherlands. (From 2003-11-25 to None) | Norway. (From 2003-11-25 to None) | Poland. (From 2003-11-25 to None) | Portugal. (From 2003-11-25 to None) | Romania. (From 2003-11-25 to None) | Slovakia. (From 2003-11-25 to None) | Slovenia. (From 2003-11-25 to None) | Spain. (From 2003-11-25 to None) | Sweden. (From 2003-11-25 to None) | Turkey. (From 2003-11-25 to None) | United Kingdom (Northern Ireland only). (From 2003-11-25 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/261b9b15-15f4-445f-85a0-a27fa376e78d
8,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Behnk,Austria. (From 2003-11-25 to None) | Belgium. (From 2003-11-25 to None) | Bulgaria. (From 2003-11-25 to None) | Croatia. (From 2003-11-25 to None) | Cyprus. (From 2003-11-25 to None) | Czech Republic. (From 2003-11-25 to None) | Denmark. (From 2003-11-25 to None) | Estonia. (From 2003-11-25 to None) | Finland. (From 2003-11-25 to None) | France. (From 2003-11-25 to None) | Germany. (From 2003-11-25 to None) | Greece. (From 2003-11-25 to None) | Hungary. (From 2003-11-25 to None) | Iceland. (From 2003-11-25 to None) | Ireland. (From 2003-11-25 to None) | Italy. (From 2003-11-25 to None) | Latvia. (From 2003-11-25 to None) | Liechtenstein. (From 2003-11-25 to None) | Lithuania. (From 2003-11-25 to None) | Luxembourg. (From 2003-11-25 to None) | Malta. (From 2003-11-25 to None) | Netherlands. (From 2003-11-25 to None) | Norway. (From 2003-11-25 to None) | Poland. (From 2003-11-25 to None) | Portugal. (From 2003-11-25 to None) | Romania. (From 2003-11-25 to None) | Slovakia. (From 2003-11-25 to None) | Slovenia. (From 2003-11-25 to None) | Spain. (From 2003-11-25 to None) | Sweden. (From 2003-11-25 to None) | Turkey. (From 2003-11-25 to None) | United Kingdom (Northern Ireland only). (From 2003-11-25 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/f06a78df-5f69-47fe-85db-2eb5c3bbcf19
9,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,Thrombolyzer,Austria. (From 2003-11-25 to None) | Belgium. (From 2003-11-25 to None) | Bulgaria. (From 2003-11-25 to None) | Croatia. (From 2003-11-25 to None) | Cyprus. (From 2003-11-25 to None) | Czech Republic. (From 2003-11-25 to None) | Denmark. (From 2003-11-25 to None) | Estonia. (From 2003-11-25 to None) | Finland. (From 2003-11-25 to None) | France. (From 2003-11-25 to None) | Germany. (From 2003-11-25 to None) | Greece. (From 2003-11-25 to None) | Hungary. (From 2003-11-25 to None) | Iceland. (From 2003-11-25 to None) | Ireland. (From 2003-11-25 to None) | Italy. (From 2003-11-25 to None) | Latvia. (From 2003-11-25 to None) | Liechtenstein. (From 2003-11-25 to None) | Lithuania. (From 2003-11-25 to None) | Luxembourg. (From 2003-11-25 to None) | Malta. (From 2003-11-25 to None) | Netherlands. (From 2003-11-25 to None) | Norway. (From 2003-11-25 to None) | Poland. (From 2003-11-25 to None) | Portugal. (From 2003-11-25 to None) | Romania. (From 2003-11-25 to None) | Slovakia. (From 2003-11-25 to None) | Slovenia. (From 2003-11-25 to None) | Spain. (From 2003-11-25 to None) | Sweden. (From 2003-11-25 to None) | Turkey. (From 2003-11-25 to None) | United Kingdom (Northern Ireland only). (From 2003-11-25 to None),https://ec.europa.eu/tools/eudamed/#/screen/search-device/9447d9eb-4c2e-47a1-a917-89605d05feb4
