,Actor ID/SRN,Actor/Organisation name,UDI-DI code,Status,Nomenclature code(s),Name/Trade name(s),Reference-catalogue number,Additional Product description,Additional information url,Clinical sizes,Labelled as single use,Maximum number of reuses,Need for sterilisation before use,Device labelled as sterile,Containing Latex,Storage and handling conditions,Critical warnings or contra-indications,Reprocessesed single use device,Member state of the placing on the EU market of the device,link
0,US-MF-000021651,"Abaxis, Inc.",+EABA11000000ER1 / HIBCC,On the EU Market,W0201010101: CHEMISTRY ANALYSERS - LOW ROUTINE (Random access without ISE mode test/h <= 400),,1100-0000ER,,www.abaxis.com,,No,,No,No,No,,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/0787750a-4236-487d-8453-4179b2dc8549
1,DE-MF-000025020,NovaTec Immundiagnostica GmbH,+ENTIW00000 / HIBCC,On the EU Market,"W0105900201: BUFFERS (UNASSIGNABLE ), SUPPLEM. REAGENTS, ETC",,W0000,,,,No,,No,No,No,2-8 °C,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/46b83709-6bd7-4015-9ddc-92ad5d825af9
2,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0101020/$L / HIBCC,On the EU Market,W0202020101: SEMI-AUTOMATED COAGULOMETERS,,010102,,,,No,,No,No,No,Sensitive laboratory device,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/c8a8a043-8d62-4d0a-88d3-7c985b3a924b
3,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0140100/$N / HIBCC,On the EU Market,W0202020101: SEMI-AUTOMATED COAGULOMETERS,,014010,,,,No,,No,No,No,Sensitive laboratory device,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/a2146537-029b-44b2-92b9-0bdabe3c6fe4
4,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0140130/$Q / HIBCC,On the EU Market,W0202020101: SEMI-AUTOMATED COAGULOMETERS,,014013,,,,No,,No,No,No,Sensitive laboratory device,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/30266a2e-7b63-45b9-87e0-5969d3dad2b4
5,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0140200/$O / HIBCC,On the EU Market,W0202020101: SEMI-AUTOMATED COAGULOMETERS,,014020,,,,No,,No,No,No,Sensitive laboratory device,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/6524c3e5-64ff-4af6-b634-de7ea0d62189
6,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0180100/$R / HIBCC,On the EU Market,W0202020102: AUTOMATED COAGULOMETERS,,018010,,,,No,,No,No,No,Sensitive laboratory device,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/48cb7a32-dab1-4139-8ecc-3b6f07d9c2ed
7,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0502100/$P / HIBCC,On the EU Market,W0202020185: COAGULOMETERS - CONSUMABLES,,050210,,,,Yes,1,No,No,No,,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/261b9b15-15f4-445f-85a0-a27fa376e78d
8,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0502200/$Q / HIBCC,On the EU Market,W0202020185: COAGULOMETERS - CONSUMABLES,,050220,,,,Yes,1,No,No,No,,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/f06a78df-5f69-47fe-85db-2eb5c3bbcf19
9,DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co.,+EUBE0502800/$W / HIBCC,On the EU Market,W0202020185: COAGULOMETERS - CONSUMABLES,,050280,,,,Yes,1,No,No,No,,,No,Germany,https://ec.europa.eu/tools/eudamed/#/screen/search-device/9447d9eb-4c2e-47a1-a917-89605d05feb4
