,0
0,df8c8154-0e73-4483-bc83-40dfae8012e4
1,76574a7a-9a1e-4abc-8d73-abd8363b0e00
2,b19ae93b-9ac5-4bc9-849e-ac2071c3d42b
3,028d4184-8fe9-49e1-a2c5-4153d3b35f00
4,7c0fc1f6-270e-4e86-b3ac-ce1099b694a8
5,3a8d037e-ab17-42ae-80ea-38847b395c50
6,3818540b-c2be-467f-8f30-865fc53d24a3
7,43ca0619-ab57-4fd4-9e7d-dd7128a34801
8,465070d9-1ceb-4e6f-8c5d-426fbf1067d5
9,35574d8e-04da-4c73-ba8e-2e2e614eb389
10,9c878db9-2c0a-4af1-b3e7-ea74520ca976
11,2f1c57ab-b7f2-44ff-94ed-e37f95197f8a
12,e5b6c6dd-f62d-4398-91b2-eda75ab56bd7
13,0baaebfc-2850-4a4b-9631-aa0be4e43c47
14,44db5940-6772-44b8-8dc2-1c73271de1e2
15,695eea13-3d47-4ce7-9139-c796636901af
16,538f99e1-761f-4688-b654-77351f832a9a
17,2a67513a-94ee-4db1-806d-89d26d9d1e22
18,00d571f4-3e90-4861-beb8-e2c3b2e00987
19,4135b005-45b0-406c-9ca0-66bb5897f7b0
20,ab0a2443-ecd9-47fa-b787-f856399b2777
21,dc1bb97e-fb68-4ce4-994f-d0cda667b4f2
22,086d78e0-2f02-4fbd-bb91-e1ac443d2682
23,db99d28b-7ab2-4d5e-8219-c16fb6f76f27
24,4f88257c-74b0-4315-a28f-6f616963878a
25,8a79220f-83df-4f66-82df-a87663eef6d3
26,dfe47f36-beff-4ffb-a059-eb60fca9848e
27,6c6a85d5-a922-41b9-97d0-09a96e4159e4
28,30742437-c884-4cd2-8a4e-fe7550d92ee9
29,8b985699-6699-4217-820c-a996de332cf2
30,218e021a-b2fa-4512-9ffa-cb030434a235
31,dbb18d30-dd1b-43fc-8724-8021bf93a46f
32,e88ef706-4cfa-42d4-9fe7-1590c3fdb45a
33,8ba69cbf-b0f2-4314-a270-633b4e1d534b
34,36a4bf72-3537-43a2-9317-83e3e4715e88
35,f4335e2a-9b22-4553-b72e-01fa24cc3427
36,83bde317-5bfd-455f-a116-7d79ae24a5d9
37,72ca0661-95e0-4105-bcf1-7e2b1cc57d94
38,91b7e10b-ba2d-4615-97b8-71fd205dbf99
39,0add0448-2c63-4e44-b7d5-66fe1dcffbef
40,4e5b94af-0dfb-41f8-99e2-e828bf8366a1
41,24127af2-f5ad-47f7-b04d-37d549882def
42,68a51932-24fc-4c53-9698-7d1c44d40381
43,a7ad2d01-1f12-4a34-b035-85f1a3fbc5e9
44,39120412-85fc-4cd2-bede-51e7e7f19e40
45,b81ba5c6-ad90-4f51-98fb-aacbc09e499b
46,a7d97158-83ab-45a6-8b74-63e4a35eebcd
47,05466f88-037e-449d-a0a4-cc096e18d395
48,74f2c9cd-ff47-4c5a-a742-e5d19fb154c8
49,eb2ae12d-ef8a-456d-bbef-ecf80b77f6a8
50,01dc0977-e308-495e-a4b3-3ad5ba796e7c
51,d70cf6e8-2416-4d17-892f-4b6c788d9441
52,1fad375a-ce8f-4fe0-97d7-144131078c6a
