0,Actor ID/SRN,Role,Country,Actor/Organisation name,VAT number,EORI,National trade register,Street name,Street number,Address line 2,PO box,City,Postal Code,Country,Email,Phone number,Website
1,DE-MF-000025990,Manufacturer,Germany,SMT Service-Medizin-Technik GmbH,DE205749465,DE6749852,54900,Ziegelhüttenweg,45,,,Frankfurt am Main,60598,Germany,info@smtonline.de,06969866830,https://smtonline.de/
2,CN-MF-000018412,Manufacturer,China,"MicroPort NaviBot (Suzhou) Co., Ltd.",,,," Fengli Street, Suzhou Industrial Park",No.151 ,No.3 Workshop,,Suzhou,201203,China,orthobot@microport.com,+86 (21) 38954600,
3,DE-MF-000012925,Manufacturer,Germany,Biofrontera Pharma GmbH,DE813742016,DE7336012,Amtsgericht Köln HRB 57309,Hemmelrather Weg,201,,,Leverkusen,51377,Germany,info@biofrontera.com,+49214876320,www.biofrontera.com
4,ES-MF-000014542,Manufacturer,Spain,"MIZAR HEALTH, S.L.",B01575182,,"Registro Mercantil de Álava, tomo 1652, folio 29, inscripción 1 con hoja VI-19332",Arriurdina,11,Polígono Industrial de Jundiz,,Vitoria-Gasteiz,01015,Spain,mizarhealth@mizarhealth.com,(+34) 945 28 40 35,https://www.mizarhealth.com/
5,KR-MF-000020017,Manufacturer,Republic of Korea,"Vieworks Co., Ltd.",1208193796,,,"41-3, Burim-ro 170beon-gil",,,CM Team,Anyang-si,14055,Republic of Korea,regulatory@vieworks.com,+82 70 4496 1859,www.vieworks.com
6,US-MF-000013090,Manufacturer,United States,Flexmedics,,,,Linville Way,40,,,Franklin,46131,United States,ghmail@ghortho.com,317346-6655,FlexMedics.com
7,US-MF-000012129,Manufacturer,United States,"G&H Wire Company, Inc.",,,,Linville Way,40,,,Franklin,46131,United States,ghmail@ghortho.com,+1 317-346-6655,ghorthodontics.com
8,GB-MF-000022103,Manufacturer,United Kingdom (ex Northern Ireland),Eyeol UK Limited,GB814592914,,04542784,"Apex Business Center, Boscombe Road",8,,,Dunstable,LU5 4SB,United Kingdom (ex Northern Ireland),info@eyeol.co.uk,+441582477002,www.eyeol.co.uk
9,US-MF-000010640,Manufacturer,United States,Biodermis Corporation,,,,Whitney Mesa Drive,1820,Suite 100,,Henderson,89014,United States,lance@relengineering.com,,
10,US-MF-000021541,Manufacturer,United States,Sun Nuclear Corporation,,,,Discovery Drive ,7600,,,Middleton Wisconsin,53562,United States,jshaw@mirion.com,+16088287000,www.sunnuclear.com
11,CH-MF-000012474,Manufacturer,Switzerland,Effectum Medical AG,CHE-389.095.825,,,Kirchgasse,11,,,Olten,4600,Switzerland,info@effectummedical.com,+41 77 493 72 72,https://www.effectummedical.com/
12,GB-MF-000003881,Manufacturer,United Kingdom (ex Northern Ireland),Alesi Surgical,99118582 ,GB991185882000,COMPANY REG NO: 6133243 ,Cardiff Medicentre,,Heath Park,CF14 4UJ,Cardiff,CF14 4UJ,United Kingdom (ex Northern Ireland),info@alesi-surgical.com,02920291022,https://alesi-surgical.com/
13,ES-MF-000021148,Manufacturer,Spain,"Ferrer International, S.A",,,A08041162,Gran via Carlos III,94,"Production site: c/ Joan Buscallà 1-9, 08173, Sant Cugat del Vallés (Barcelona)",,Barcelona,08028,Spain,registros@ferrer.com,,
14,ES-MF-000021148,Manufacturer,Spain,"Ferrer International, S.A",,,A08041162,Gran via Carlos III,94,"c/ Joan Buscallà 1-9, 08173, Sant Cugat del Vallés (Barcelona)",,Barcelona,08028,Spain,registros@ferrer.com,,
15,DE-MF-000024761,Manufacturer,Germany,Noxygen Science Transfer &  Diagnostics GmbH,DE235216190,,Amtsgericht Freiburg HRB 280513,Lindenmatte,42,,,Elzach,79215 ,Germany,info@noxygen.de,,https://www.noxygen.de/
16,TW-MF-000006959,Manufacturer,Taiwan,"BioGend Therapeutics Co., Ltd.",,,,"4F, No.3-2, Park Street, Nangang Dist.",,,,Taipei City,115,Taiwan,info@biogend.com.tw,+886 2 26558366,https://www.biogend.com/
17,KR-MF-000025426,Manufacturer,Republic of Korea,BSL CO. LTD.,607-06-46833,,,Chilsan-ro 237beon-gil,,6-13,,"Gimhae-si, Gyeongsangnam-do",51006,Republic of Korea,bsl@biosl.com,,
18,CN-MF-000003020,Manufacturer,China,Zhejiang UE Medical Corp.,,,,8 Youyi Road,,Baita Economic Development Zone,,Taizhou,317300,China,terryueworld@outlook.com,,
19,CN-MF-000025984,Manufacturer,China,"Suzhou Dymind Medical Technology Co., Ltd.",,,,Chunwang,,,,Suzhou,215000,China,eudamedaccount_suzhou1@dymind.com,,
20,CN-MF-000025974,Manufacturer,China,"WENZHOU AISHI OPTICS INDUSTRY CO., LTD.",,,,"NO. 67 YANJIANG INDUSTRIAL AREA,",,,,WENZHOU,325008,China,ssl@aishioptics.com,+8615224101215,
21,US-MF-000019927,Manufacturer,United States,"Arthrosurface, Inc.",,,,Forge Parkway,28,,,"FRANKLIN, MA",02038,United States,ra-arthro@anika.com,+15085203003,www.arthrosurface.com
22,US-MF-000022888,Manufacturer,United States,Vortex Surgical Inc,,,,Research Park Dr,4,suite 124,,Saint Charles,63304,United States,info@vortexsurgical.com,,
23,IN-MF-000019843,Manufacturer,India,MRK HEALTHCARE PVT. LTD.,,,,"S.No. 153/P& 310, Panch Pippal",,"Hansapur, Runi, Unjha-Patan Road, Patan, Gujarat",,Patan,384265,India,info@mrkhealthcare.com,+91 22 6261 1111,https://www.nulife.co.in/
24,BE-MF-000015341,Manufacturer,Belgium,Immunodiagnostic Systems SA,BE0436921949,BE0436921949,BE0436921949,Ernest Solvay,101,,,Liege,4000,Belgium,info.be@idsplc.com,+3242522636,www.idsplc.com
25,DE-MF-000014095,Manufacturer,Germany,Enste PhysioForm Reha GmbH,DE 316068471,DE866054662245341,AG Mainz HRB 47915,Saarlandstraße,91,,,Bingen,55411,Germany,info@enste-reha.de,0672142464,www.enste-reha.de
26,FR-MF-000000496,Manufacturer,France,Theraclion,FR88478129968,FR47812996800044,478129968,Pierre Brossolette,244,,,Malakoff,92240,France,contact@theraclion.com,+33155489070,www.theraclion.com
27,DE-MF-000010495,Manufacturer,Germany,Praeciso GmbH & Co. KG,DE156639200,,,Max-Planck-Straße,39,,,Villingen-Schwenningen,78052,Germany,info@praeciso.com,+49 77 21 9 98 22 30,
28,CN-MF-000015849,Manufacturer,China,"Tianjin Huahong Technology Co., Ltd.",,1210969215,566130699,Hangkong Road,No. 278,Tianjin Pilot Free Trade Zone (Air Port Industrial Park),,Tianjin,300308,China,huahongsales@163.com,0086-22-58775333,http://www.hh-technology.com/
29,CN-MF-000007136,Manufacturer,China,Wingderm Electro-Optics Ltd.,,,91110114MA01N1HD02,"Building 6, No.97 Changping Road, Changping District",,,,Beijing,102206,China,zhoujuan@wingderm.com,,
30,CN-MF-000025902,Manufacturer,China,"Acare Medical Science Co., Ltd.",,,914404007079954006,"No.8, Pingxi 10th Road, Nanping Science and Technology Industrial Park, Xiangzhou District",,,,Zhuhai City. Guangdong,519060,China,Angel.ma@acareglobal.com,,
31,US-MF-000008565,Manufacturer,United States,"Butterfly Network, Inc.",,BEUS000377,,Old Whitfield Street. ,530,,,Guilford,06437,United States,support@butterflynetwork.com,,www.butterflynetwork.com
32,DE-MF-000022683,Manufacturer,Germany,BIORON Diagnostics GmbH,DE274094961,DE1063235,HRB62298,In den Rauhweiden ,20,,,Roemerberg,67354,Germany,info@bioron.de,+49 6232 298-44-0,www.bioron.de
33,SE-MF-000001678,Manufacturer,Sweden,B.I.M.A. PLASTTEKNIK AB,SE556208567901,,,Trålvägen,5,,,TRÄSLÖVSLÄGE,43274,Sweden,info@bimaplastteknik.se,+4634041950,www.bimaplastteknik.se
34,CN-MF-000025830,Manufacturer,China,"4B World Technology CO., LTD.",,,914403005615463103,,,,,Shenzhen,518172,China,eveeddie@netvigator.com,+85294334515,www.4bworld.com
35,IT-MF-000016005,Manufacturer,Italy,3DIEMME srl,02938110133,,,Via Risorgimento,9,,,Cantù,22063,Italy,avis@3diemme.it,,www.3diemme.it
36,US-MF-000016844,Manufacturer,United States,KCI USA Inc.,,No EORI,74-2152396,IH 10 west,12930,,,"San Antonio, Texas",TX 78249,United States,info-kci-us@mmm.com,+1 800 275 4524,www.3m.com
37,GB-MF-000014013,Manufacturer,United Kingdom (ex Northern Ireland),JEB Technologies Ltd,,GB103614221000,,Hampstead Avenue,,"Mildenhall,Suffolk ",,Mildenhall,IP28 7AS,United Kingdom (ex Northern Ireland),paul.flack@jeb-technologies.com,+44 1638 718435,https://www.jeb-technologies.com
38,CN-MF-000025972,Manufacturer,China,Guangdong RunPon Bioscience Inc.,,,,Alishan Road,No. 19,"Room 201, 301 and 401, Building 5, Songshan Lake Park",,Guangdong,523890,China,Service_RP@fapon.com,+86 0769-86086555,
39,CN-MF-000025916,Manufacturer,China,"Jiangxi Huali Medical Instrument Co.,Ltd.",,,,Yudu Industrial Zone,,,,Ganzhou,342300,China,2315308834@qq.com,0086 797 63 30 67 7,
40,CN-MF-000025982,Manufacturer,China,SVision Imaging Ltd.,,,,,,,,Luoyang，Henan,471000,China,hui.lu@svr.us,,
41,CN-MF-000025970,Manufacturer,China,"Zhejiang Shuyou Surgical Instrument Co., Ltd",,,9133052369951352X9,East Yangguang Avenue,3689#,"Dipu Street, Anji",,"Huzhou City, Zhejiang",313300,China,wujialong@shuyou-china.com,,
42,PK-MF-000025977,Manufacturer,Pakistan,Vipple Enterprises,,,3460164443259,"Addha Stop, Daska Road",,,,Sialkot,51310,Pakistan,info@vippleent.com,+92 305-8623893,www.vippleent.com
43,DE-MF-000005551,Manufacturer,Germany,Gebrüder Martin GmbH & Co. KG,DE 142930777,DE 2848902,HRA 450196,KLS Martin Platz,1,,,Tuttlingen,78532,Germany,vigilance@klsmartin.com,+49 7461 706 0,www.klsmartin.com
44,NL-MF-000008003,Manufacturer,Netherlands,Varitex B.V.,NL807569045B.01,NL807569045,34110032,Zijlweg 103/105,103,,723,Haarlem,2013 DE,Netherlands,info@varitex.nl,+31235319317,www.varitex.nl
45,DE-MF-000014394,Manufacturer,Germany,AF Medical GmbH,DE322610527,DE490011659531147,HRB777012,Hermann-Winker-Str.,7,,,Spaichingen,78549,Germany,info@af-ortho.com,+49 7424 9 699 390,www.af-ortho.com
46,JP-MF-000016663,Manufacturer,Japan,"Kai Industries Co., Ltd.",2200001019026,,2000-01-019026,Oyana ,1110,,,"Seki-shi, Gifu",501-3992,Japan,medical-regulatory@kai-group.com,+81 575 28 5040,https://www.kaimedical.jp/
47,IE-MF-000005477,Manufacturer,Ireland,Atlantic Therapeutics Ltd,IE3198749BH,No EORI,528469,"Office 5, Unit 10",Oranmore Business Park,,,Ireland,H91V298,Ireland,nnunn@myinnovo.com,+353 91 412 421,www.myinnovo.com
48,CN-MF-000025904,Manufacturer,China,Beijing Santel Technology & Trading Corp.,,,91110108600475587A,"No. 79A, Fuxing Road, Haidian District",,,,Beijing,100039,China,jichunxu@ccf-china.com,,
49,GR-MF-000023097,Manufacturer,Greece,BRADEX COMMERCIAL AND INDUSTRIAL PHARMACEUTICAL PRODUCTS SOCIETE ANONYME,999872539,GR999872539,004931901000,ASKLIPIOU STR.,27,,,"KRIONERI, ATTIKI ",14568,Greece,info@bradex.gr,+30 210 6221801,www.bradex.gr
50,GR-MF-000023096,Manufacturer,Greece,DEMO S.A. PHARMACEUTICAL INDUSTRY,094041553,GR094041553,000283801000,"National Road Athens-Lamia  145 68 Krioneri, Attiki, Greece",21st km ,,,"Krioneri, Attiki",145 68,Greece,info@demo.gr,(+30) 2108161802,www.demo.gr
51,CN-MF-000017634,Manufacturer,China,"ZHONGSHAN QUNN MEDICAL EQUIPMENT CO.,LTD",,,,"3rd Booth No.108 Zhaoyi Road, Dongsheng Town",,,,Zhongshan,528414,China,sales@qunn.com,,
52,DE-MF-000006525,Manufacturer,Germany,Leisegang Feinmechanik-Optik GmbH,,,,Leibnizstr.,32,,,Berlin,10625,Germany,falko.sandmann@coopersurgical.com,,www.leisegang.de
53,ES-MF-000000280,Manufacturer,Spain,Gogoa Mobility Robots,B75139477,ESB75139477,Agencia Tributaria Española,Arzubia ,10B,,,Abadiño,48220,Spain,info@gogoa.eu,+34 666325361,www.gogoa.eu
54,IL-MF-000010234,Manufacturer,Israel,Nano-X AI Ltd.,,,,Shefayim Commercial Center,,,25,Shefayim,6099000,Israel,neta.s@nanox.vision,,
55,SE-MF-000024685,Manufacturer,Sweden,Modulpac AB,SE556220485801,SE5562204858,556220-4858,Västergatan,16,,,Lagan,34150,Sweden,order@modulpac.se,+4637225500,www.modulpac.com
56,FI-MF-000016432,Manufacturer,Finland,Skulle Implants Oy,FI24167374,FI24167374,2416737-4,Lemminkäisenkatu ,60,,,Turku,20520,Finland,quality@skulleimplants.com,+358 10 526 2337,https://skulleimplants.com/
57,DE-MF-000006122,Manufacturer,Germany,Siemens Healthcare GmbH,DE815546023,,,Henkestr.,127,,,Erlangen,91052,Germany,contact@siemens-healthineers.com,,https://www.siemens-healthineers.com
58,PK-MF-000025646,Manufacturer,Pakistan,Durable Hospital Supplies,,,,"Khan Mehal Cinema Road, ",,"Sialkot 51310, Pakistan",,Sialkot,51310,Pakistan,bilal@durablehs.com,+92 345 8186677,http://durablehs.com/
59,US-MF-000014059,Manufacturer,United States,"3M Unitek Corporation, dba 3M Unitek Orthodontic Products",,,,South Peck Road,2724,,,Monrovia,91016,United States,3MHealthcarecompliance@mmm.com,,
60,US-MF-000014054,Manufacturer,United States,"3M Company, Unitek Orthodontic Products",,,,Conway Avenue,2510,,,St.Paul,55144,United States,3MHealthcarecompliance@mmm.com,,
61,US-MF-000014051,Manufacturer,United States,"3M Company, ESPE Dental Products",,,,Conway Avenue,2510,,,St.Paul,55144,United States,3MHealthcarecompliance@mmm.com,,
62,US-MF-000014086,Manufacturer,United States,3M Company,,,,Conway Avenue,2510,,,St.Paul,55144,United States,3MHealthcarecompliance@mmm.com,,
63,AT-MF-000000310,Manufacturer,Austria,P.G.F. Industry Solutions GmbH,,ATEOS1000063167,FN265002i,Katzmoosstraße,26a,,,Elixhausen,5161,Austria,office@veriforte.com,,
64,DE-MF-000017888,Manufacturer,Germany,Kairos GmbH - an IQVIA business,DE262751166,,,Gesundheitscampus-Süd,17,,,Bochum,44801,Germany,info@kairos.de,,
65,DK-MF-000025631,Manufacturer,Denmark,Knop Elektronik A/S,28305249,,,Fabriksvej ,20,,,Struer,7600,Denmark,knop@knop.dk,+45 96 84 90 14,knop.dk
66,BE-MF-000019844,Manufacturer,Belgium,nexuzhealth NV,BE 0667.753.542,,0667.753.542,Kempische Steenweg,307,Corda 3,,Hasselt,3500,Belgium,centrale.diensten@nexuzhealth.com,,https://nexuzhealth.com/nl/
67,CH-MF-000016941,Manufacturer,Switzerland,Novartis Pharma AG,CHE-116.268.023 MWST,,,Lichtstrasse ,35,,,Basel,4056,Switzerland,ra.medical_device@novartis.com,+41 61 324 1111,http://www.novartis.com
68,FR-MF-000000492,Manufacturer,France,EVOLUTIS,FR58423551647 ,,414588087,place des tuiliers,10,,,BRIENNON,42720,France,qualite@evolutis42.com,,
69,DE-MF-000017839,Manufacturer,Germany,Deutsche Olbas GmbH,,,,Hutwiesenstrasse ,14,,,Magstadt,71106,Germany,zulassung@salus.de,,
